"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2714.84443410421,-0.0398290164118534,0.0562408712464713,-0.708186333695042,0.478829551790461,0.651319027045632
"ENSG00000000005",2.36218139631801,0,2.12096208772231,0,1,1
"ENSG00000000419",1428.9386449204,-0.196716559403903,0.0660661079106034,-2.97757149051504,0.00290541876962296,0.0102418886184334
"ENSG00000000457",298.339051163745,0.183263286648752,0.116184276936471,1.57735014996013,0.114714978986854,0.229159148297158
"ENSG00000000460",984.958776127603,0.09148235253443,0.0781296262136856,1.17090477668771,0.241637054897846,0.402427230573818
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",1531.30924012217,0.542679024530885,0.0808558649573081,6.71168411614198,1.92390835394146e-11,2.23781614997287e-10
"ENSG00000001036",2817.29366800228,-0.311443232153947,0.0529737370088646,-5.87920070849127,0.00000000412252259732363,0.0000000380838277495115
"ENSG00000001084",6758.63838271591,-0.314429445301024,0.0609469956308255,-5.15906390539115,0.000000248187593971064,0.00000185036424685739
"ENSG00000001167",1542.52741829531,0.192642460155605,0.0766451613359486,2.51343276989425,0.0119562564201149,0.0352276608032772
"ENSG00000001460",353.595286807605,0.110456321718223,0.115406920271937,0.95710310489138,0.338515216620175,0.514552858458761
"ENSG00000001461",804.511359117868,0.118595280408335,0.0825869099584871,1.43600578430587,0.151000695335114,0.282911078030717
"ENSG00000001497",4214.61721072671,-0.0600124046511429,0.0541874172692828,-1.10749704775396,0.268079087998707,0.434367686480624
"ENSG00000001561",424.746294943851,0.870790190688862,0.0957471265874601,9.0946874514656,9.4858907864602e-20,2.0270102988643e-18
"ENSG00000001617",185.34557422227,-3.02034255463192,0.265415985008791,-11.3796558053272,5.28077365908429e-30,1.94286550883353e-28
"ENSG00000001626",5.65385299078766,0.765882271857272,1.01713153033077,0.75298252882615,0.451460412842267,0.625963954361996
"ENSG00000001629",1995.81807987369,0.138300232249073,0.10498181667717,1.31737320448893,0.187713558152989,0.333459038331184
