"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2714.84443410421,0.0400142440299216,0.0559664795194077,0.714968037538358,0.474628793600101,0.64126413817826
"ENSG00000000005",2.36218139631801,0,2.12096208778733,0,1,1
"ENSG00000000419",1428.9386449204,-0.0292850086752396,0.0658753115621324,-0.444552108836987,0.656643463471696,0.791241126628992
"ENSG00000000457",298.339051163745,0.0989951855302149,0.112947860465927,0.876468001446376,0.380775664510258,0.550933641113816
"ENSG00000000460",984.958776127603,0.0572541091815038,0.0776221383648928,0.737600256673666,0.460757399403646,0.628132400476697
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",1531.30924012217,0.56938672184501,0.0784856713374513,7.25465823432811,4.02677280752104e-13,5.16743063004062e-12
"ENSG00000001036",2817.29366800228,-0.227442797221304,0.0526784355756737,-4.31756931913018,0.0000157756871847814,0.0000872663809718368
"ENSG00000001084",6758.63838271591,-0.216681286810787,0.0608650297236955,-3.56002926137453,0.000370813472479495,0.00159071648313915
"ENSG00000001167",1542.52741829531,0.130982054195384,0.0765557385757673,1.71093711107954,0.0870927228869473,0.180150401455815
"ENSG00000001460",353.595286807605,-0.000488574243726992,0.114533985528476,-0.00426575781391558,0.996596428022446,1
"ENSG00000001461",804.511359117868,0.0612297767017854,0.0816030026863173,0.750337299929431,0.453051583181776,0.620916565781723
"ENSG00000001497",4214.61721072671,-0.0958431078832579,0.0540827649052088,-1.77215621374467,0.0763686297420342,0.162304253698433
"ENSG00000001561",424.746294943851,1.14633290710189,0.096352137433913,11.8973272169302,1.2219845457394e-32,4.56928008146094e-31
"ENSG00000001617",185.34557422227,-2.38950687528732,0.253171417034588,-9.43829640516199,3.78889253009707e-21,8.1352653413152e-20
"ENSG00000001626",5.65385299078766,1.00734775498461,1.12150367729965,0.898211727143063,0.369072682484113,0.538632492624393
"ENSG00000001629",1995.81807987369,0.0103137135603708,0.104856255442118,0.0983604985404436,0.921646040129972,0.965991432132666
"ENSG00000001630",5807.19636487051,0.031490702045567,0.0354635975950758,0.887972574162625,0.374555504133194,0.544460298137769
"ENSG00000001631",1028.50404009369,-0.516166972081938,0.118645521181539,-4.35049689985474,0.0000135829375748257,0.0000758235073151237
"ENSG00000002016",309.588685438791,0.192713140608479,0.178084682374584,1.08214327048705,0.279188871315366,0.442547773525943
"ENSG00000002079",10.6231501400048,-0.174995156419017,0.593376522273477,-0.2949141899793,0.76805943176432,0.871845531065853
"ENSG00000002330",1204.4042970781,0.365061881896749,0.0800583719806728,4.55994635994947,0.0000051166688799843,0.000030636844528301
"ENSG00000002549",3003.03325444417,-0.130567276136628,0.0395313661387189,-3.30287791417218,0.000956980419600213,0.00373328770267507
"ENSG00000002586",6564.09886091398,-0.171947711450392,0.070805346455074,-2.42845660757402,0.015163239486769,0.0420763007817352
"ENSG00000002587",79.6008324874245,0.705984918770204,0.384420454575835,1.83649155596879,0.0662849898096379,0.144505484130213
"ENSG00000002726",0.30687974938296,0.580190165988376,5.26764854489357,0.110142155658963,0.912296636134092,NA
"ENSG00000002745",1.07756429590691,0,2.46371085011517,0,1,NA
"ENSG00000002746",390.577703429289,-0.0489109781389981,0.191136609490773,-0.255895394761406,0.798031610711974,0.892012503161257
"ENSG00000002822",751.259285774957,-0.0454651170981839,0.104974151727653,-0.433107735094058,0.664936503596906,0.797382222697475
"ENSG00000002834",30202.7220531636,0.185103313592341,0.0220967891008448,8.37693262797463,5.43249231239092e-17,9.15033689799042e-16
"ENSG00000002919",917.443386418601,-0.083245977012137,0.0913255464659522,-0.911530017979937,0.362016176672896,0.53158029860517
"ENSG00000002933",0.560210216337525,1.21393740508932,3.90452280886487,0.310905445944171,0.75587250425321,NA
"ENSG00000003056",7650.84387684729,-0.269812219347341,0.0568973880194316,-4.74208445658692,0.00000211530399187882,0.0000135146698280053
"ENSG00000003096",491.548295381856,1.58101467980589,0.165620372997785,9.54601569353448,1.34780330404394e-21,2.96732663333572e-20
"ENSG00000003137",364.574252211733,-1.18413773250721,0.127394187797387,-9.29506873885418,1.47111112205252e-20,3.06295737407147e-19
"ENSG00000003147",133.529145153249,0.89646560018818,0.329997256994049,2.71658500544551,0.00659592546886294,0.020498833581144
"ENSG00000003249",1740.94780701776,0.109210656011685,0.0541060869846632,2.01845415364526,0.0435439843233451,0.10208136216832
"ENSG00000003393",1247.60831460671,-0.365913081669351,0.117628219704135,-3.11075932790376,0.00186606961759225,0.00679132376828433
"ENSG00000003400",347.259218508736,-0.66215190331281,0.134033736691881,-4.9401883410516,0.000000780471470268143,0.00000529628582087312
"ENSG00000003402",2489.84095293973,-0.533947452345273,0.0586024351597052,-9.11135264072462,8.13611638634153e-20,1.61839034029881e-18
"ENSG00000003436",1345.91304563589,-0.359886299304698,0.0672379943758817,-5.35242466175923,0.0000000867834388722924,0.000000668094727826378
"ENSG00000003509",665.088719976849,-0.374090501290423,0.0845160296950428,-4.42626685896445,0.00000958779016823757,0.0000548396322838146
"ENSG00000003756",1950.96194877519,-0.0675070895541576,0.109228113358868,-0.618037678013935,0.536550502180775,0.69448334230463
"ENSG00000003987",32.663454303483,-1.66866598466156,1.57698771580485,-1.05813505580157,0.289993874342701,0.454346697188706
"ENSG00000003989",829.400570301976,0.98128340747702,0.0969310298362435,10.1235219427134,4.34493515115139e-24,1.11601215954029e-22
"ENSG00000004059",3218.74963324415,0.332138586331957,0.068077600906776,4.87882331204327,0.000001067206122453,0.00000711326958740907
"ENSG00000004139",783.505183196284,0.240985492666389,0.107069798397318,2.25073266479996,0.0244024745768511,0.0630715996508269
