"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2714.84443410421,0.971403252255693,0.0548501372153226,17.7101334941479,3.50240795816221e-70,2.91372860005826e-69
"ENSG00000000005",2.36218139631801,5.11952252237319,1.790727352725,2.8589067534947,0.00425103722789347,0.00681773568306765
"ENSG00000000419",1428.9386449204,-0.204926847704637,0.0661763191373319,-3.09667945234857,0.00195701368928254,0.00323081265522536
"ENSG00000000457",298.339051163745,0.31268157449331,0.114991484406852,2.71917156393085,0.00654456531046057,0.0103082289772258
"ENSG00000000460",984.958776127603,0.57384036984367,0.0767497147547738,7.47677527763029,7.61684976612052e-14,2.12961367449519e-13
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",1531.30924012217,-7.8007760130292,0.369469222155976,-21.1134664140874,5.98202396044373e-99,6.89892256501113e-98
"ENSG00000001036",2817.29366800228,0.0338990700135096,0.0524118820015531,0.646782155475835,0.517772942959547,0.586727583386478
"ENSG00000001084",6758.63838271591,-2.96282078934875,0.0645538082336031,-45.896917167568,0,0
"ENSG00000001167",1542.52741829531,1.42053237700434,0.0744103650831431,19.0905175027309,3.02755350230455e-81,2.88972625846562e-80
"ENSG00000001460",353.595286807605,-0.0526143743652732,0.116972726822606,-0.449800357694194,0.652854399909553,0.712579732236328
"ENSG00000001461",804.511359117868,-0.0100882497488055,0.0828876113416917,-0.121709982776778,0.903128706907165,0.928045689238818
"ENSG00000001497",4214.61721072671,-0.368604877490287,0.054576638242855,-6.75389487806247,1.43928049919996e-11,3.68206390390338e-11
"ENSG00000001561",424.746294943851,1.36512120386124,0.0935026872927778,14.5998071647582,2.81640858553839e-48,1.72478451611901e-47
"ENSG00000001617",185.34557422227,0.437918765724185,0.225967544386882,1.9379719636835,0.0526266431373342,0.0742655343675911
"ENSG00000001626",5.65385299078766,-5.30984751142125,1.53233444031235,-3.46520144149399,0.000529834453483853,0.000915266700796954
"ENSG00000001629",1995.81807987369,-0.844889228568987,0.107245759952624,-7.87806649831394,3.32485768957713e-15,9.7558042685273e-15
"ENSG00000001630",5807.19636487051,-0.207715022961849,0.0361146343060809,-5.75154717617821,0.00000000884303964876735,0.0000000201725085386307
"ENSG00000001631",1028.50404009369,0.0605183184133799,0.117227743378345,0.516245699774847,0.605682815838547,0.669433237194058
"ENSG00000002016",309.588685438791,-0.319957601978349,0.181259599730329,-1.76518982969382,0.0775318673101977,0.106873357760825
"ENSG00000002079",10.6231501400048,-6.38069443140644,1.30412253948889,-4.89271079840944,0.000000994564991861687,0.00000205726446603914
"ENSG00000002330",1204.4042970781,-0.659344268923189,0.0814760881013894,-8.09248804511449,5.84581409633457e-16,1.76224379705336e-15
"ENSG00000002549",3003.03325444417,0.634086786352044,0.044558229401147,14.2305202624528,5.92394093419316e-46,3.49370220708105e-45
"ENSG00000002586",6564.09886091398,0.454263280073456,0.0705939860942831,6.43487222079735,1.23577245611963e-10,3.04778139455356e-10
"ENSG00000002587",79.6008324874245,-7.4562255538337,0.919800325058773,-8.10635237963985,5.21620240525066e-16,1.5757541991578e-15
"ENSG00000002726",0.30687974938296,0,5.26764854489356,0,1,NA
"ENSG00000002745",1.07756429590691,4.281278889481,2.22259091555057,1.92625591130002,0.0540724275856012,0.0761560494186216
"ENSG00000002746",390.577703429289,-7.22129645025048,0.333640032495379,-21.6439747839627,6.92671452817635e-104,8.41487585258924e-103
"ENSG00000002822",751.259285774957,0.672227613692098,0.103809918422511,6.4755624887027,9.44593841803004e-11,2.34109723576093e-10
"ENSG00000002834",30202.7220531636,-4.22581526144277,0.0282539845386749,-149.565285408093,0,0
"ENSG00000002919",917.443386418601,-0.602905538518641,0.0937563899378197,-6.43055410856257,1.27139611325747e-10,3.13398302158314e-10
"ENSG00000002933",0.560210216337525,0,4.09603556008471,0,1,1
"ENSG00000003056",7650.84387684729,-1.54654689854915,0.0582581214419426,-26.5464601375855,2.82162995843545e-155,5.30762248229895e-154
"ENSG00000003096",491.548295381856,4.07103382533269,0.158958236368638,25.6107133441743,1.15906477446537e-144,2.00446234397812e-143
"ENSG00000003137",364.574252211733,-1.43626163521779,0.13248341974282,-10.8410670407353,2.19891202551685e-27,9.07580145900121e-27
"ENSG00000003147",133.529145153249,-0.771822664897319,0.340946335437702,-2.26376583255093,0.0235885210284971,0.0349140796693706
"ENSG00000003249",1740.94780701776,-0.906932007680156,0.0579527072157629,-15.649519258929,3.34738597674694e-55,2.29051053634389e-54
"ENSG00000003393",1247.60831460671,-0.177387699126522,0.11683427442584,-1.51828476701944,0.128942626130556,0.171189569804068
"ENSG00000003400",347.259218508736,0.363479125390017,0.132708410494711,2.73893059253018,0.00616393848006884,0.00973912718358041
"ENSG00000003402",2489.84095293973,-3.09116034590487,0.0651485784660206,-47.4478556353632,0,0
"ENSG00000003436",1345.91304563589,-3.75976477961585,0.0927687539459009,-40.5283527016909,0,0
"ENSG00000003509",665.088719976849,-0.389939161916746,0.0855494203995494,-4.55805732050055,0.00000516289484849747,0.0000102227947658067
"ENSG00000003756",1950.96194877519,1.89470083273218,0.107174559169611,17.6786435830698,6.12521529755011e-70,5.08662738995483e-69
"ENSG00000003987",32.663454303483,8.82801199573973,1.20562985995522,7.32232361602889,2.43713545292698e-13,6.69270751311515e-13
"ENSG00000003989",829.400570301976,2.93339234838841,0.0916800962358088,31.9959562525271,1.24119826794105e-224,3.69390106535567e-223
"ENSG00000004059",3218.74963324415,0.330586163850871,0.0681945873371588,4.84768919000022,0.00000124907892582297,0.00000256496233694911
"ENSG00000004139",783.505183196284,1.54203114717302,0.105999312188991,14.5475580485245,6.05253225852773e-48,3.69447994583342e-47
"ENSG00000004142",7252.69608878825,-0.430012368420042,0.043239354545006,-9.9449303289775,2.65359647215127e-23,9.87951120717134e-23
"ENSG00000004399",1607.18954453596,-2.5281302689975,0.140974568219381,-17.933236476123,6.48900156358649e-72,5.50886120002384e-71
"ENSG00000004455",7618.38239615831,1.36387237156903,0.0534726645540246,25.5059736211775,1.69229871650724e-143,2.88386247032193e-142
"ENSG00000004468",386.4696615111,-9.49515871730022,0.659639327564266,-14.3944703120739,5.60526740003773e-47,3.36749161895377e-46
"ENSG00000004478",10164.069266091,-0.164994706644692,0.0349370859008103,-4.72262360727873,0.00000232821497820958,0.0000047140290248905
"ENSG00000004487",3920.24170282209,0.565911111120539,0.033330883686702,16.9785810793345,1.18311985001962e-64,9.14540861697022e-64
"ENSG00000004534",1804.20610693615,1.4501306087577,0.0555995506089411,26.08169657624,5.88158326122245e-150,1.06141531580668e-148
"ENSG00000004660",508.842980922412,-0.0275928419458945,0.081776733478351,-0.337416778247803,0.735802738286503,0.785538538208191
"ENSG00000004700",2696.71833980417,-0.990385776127976,0.0679940038665317,-14.565781095522,4.63654530605738e-48,2.83386621064627e-47
"ENSG00000004766",843.83894986658,0.157987065971076,0.094733666602022,1.66769715179275,0.0953758611151857,0.129612815411067
"ENSG00000004776",5.78150618180472,-0.364263763832702,0.745177991824253,-0.488827861033518,0.624963571415018,0.687323642518079
"ENSG00000004777",187.715204134091,-0.0628910265129936,0.211299587327017,-0.297639135544834,0.765978601693446,0.811193171535919
"ENSG00000004779",2117.18601007425,-0.0585082556211402,0.0809508581019533,-0.722762636406548,0.46982572608834,0.540369085848645
"ENSG00000004799",956.335595199943,-5.29104869305236,0.154659823096934,-34.2108802861888,1.66600932773876e-256,5.78914973102519e-255
"ENSG00000004809",0.254358097071241,1.01742506459235,5.26764854486674,0.193145965591008,0.846844655011949,NA
"ENSG00000004838",20.2704559617002,0.813117460175996,0.506179756379768,1.60638083591384,0.108190258951409,0.145784967651162
"ENSG00000004846",6.61129602540934,0.100268313647154,0.865702485048327,0.115823063210401,0.907792771728924,0.931658405041344
"ENSG00000004848",42.4264802755867,-7.20450869873274,1.2393037991616,-5.81335157981979,0.00000000612342647628586,0.0000000140579648188354
"ENSG00000004864",2814.23130815724,-0.124695708852145,0.0590198928065889,-2.11277423462593,0.0346200959610942,0.0500939043605782
"ENSG00000004866",930.804696018214,0.0359045887569426,0.0753652974839469,0.47640744421649,0.633784132239299,0.695226635619529
"ENSG00000004897",5569.65779178158,-0.206608443157319,0.0835169036097886,-2.47385180995987,0.013366512754837,0.0203424784279633
