"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2714.84443410421,1.00151721940799,0.0541120590585387,18.5082075388139,1.77303015542995e-76,1.40955105118006e-75
"ENSG00000000005",2.36218139631801,5.25841135114317,1.78804035585819,2.94087956902927,0.00327281750564,0.00498715048478476
"ENSG00000000419",1428.9386449204,-0.147491281214115,0.065124879389996,-2.26474555646965,0.0235282981269871,0.0328686777854393
"ENSG00000000457",298.339051163745,0.320436893797202,0.109524302229434,2.92571499908709,0.00343665615378729,0.00523053774920303
"ENSG00000000460",984.958776127603,0.656311132115389,0.0749403752298926,8.75777750114062,1.99137760841534e-18,5.96575019513821e-18
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",1531.30924012217,-7.98058498948667,0.246504115736573,-32.3750577780013,6.16110943727724e-230,1.58408177901787e-228
"ENSG00000001036",2817.29366800228,0.0734609908032334,0.0515514321928,1.42500387823354,0.154156080045831,0.191706505638878
"ENSG00000001084",6758.63838271591,-2.86016887344248,0.0635476647298956,-45.0082451589591,0,0
"ENSG00000001167",1542.52741829531,1.31526698503477,0.0734646078633474,17.903409863445,1.10917982412179e-71,8.298792023034e-71
"ENSG00000001460",353.595286807605,-0.163680633758532,0.113417675297621,-1.44316689024894,0.148973464060579,0.185676768656099
"ENSG00000001461",804.511359117868,-0.00624384011021061,0.0801168928225847,-0.077934127126439,0.937880452435935,0.948812703118221
"ENSG00000001497",4214.61721072671,-0.385873093424981,0.0539811494174771,-7.14829338739588,8.78633693789761e-13,2.17210652770702e-12
"ENSG00000001561",424.746294943851,1.83639672472574,0.0914842536154389,20.0733640178689,1.26168750807881e-89,1.15950124709391e-88
"ENSG00000001617",185.34557422227,0.260030138509573,0.223999994229748,1.16084886253555,0.245703367995525,0.293451991902825
"ENSG00000001626",5.65385299078766,-2.87233314185021,1.50275667232559,-1.91137606955698,0.0559562697190158,0.0744577033012288
"ENSG00000001629",1995.81807987369,-1.07865701492877,0.106113397875399,-10.1651350020414,2.83728693454665e-24,9.88273475713664e-24
"ENSG00000001630",5807.19636487051,-0.200846199674336,0.0353418025923098,-5.68296422203543,0.0000000132379970767753,0.0000000278404780130007
"ENSG00000001631",1028.50404009369,0.184578257794336,0.116325926175033,1.58673361875156,0.112572988778384,0.142911067880486
"ENSG00000002016",309.588685438791,-0.224396402046616,0.178561611486322,-1.25668893878573,0.208866295011404,0.253103063231106
"ENSG00000002079",10.6231501400048,-5.40197746136387,1.30038750176526,-4.15412902233431,0.0000326528902157177,0.0000577380463842227
"ENSG00000002330",1204.4042970781,-0.586323138575725,0.0819270732767768,-7.15664694373899,8.26742545665065e-13,2.04581409909219e-12
"ENSG00000002549",3003.03325444417,-0.45680828249165,0.0394041309754267,-11.5929033627598,4.47695023076775e-31,1.82190984688517e-30
"ENSG00000002586",6564.09886091398,0.294492632084184,0.0703954990977105,4.18340143700695,0.0000287179628517727,0.000050972665109611
"ENSG00000002587",79.6008324874245,-5.60690800341672,0.591126187945225,-9.48512875551416,2.42084030866244e-21,7.84689210634398e-21
"ENSG00000002726",0.30687974938296,0.827542433871167,5.23314980249715,0.158134673208912,0.874350679071511,NA
"ENSG00000002745",1.07756429590691,3.59600375844538,2.21099531943342,1.62641853053171,0.103860651458325,0.132493633809889
"ENSG00000002746",390.577703429289,-7.2669962532364,0.319357694850279,-22.7550372839562,1.27933417919502e-114,1.50144549579405e-113
"ENSG00000002822",751.259285774957,0.612160118015511,0.102760777780691,5.95713784224137,0.00000000256693726994929,0.00000000556623374856036
"ENSG00000002834",30202.7220531636,-4.11665191862565,0.0267383894118392,-153.960354725138,0,0
"ENSG00000002919",917.443386418601,-0.633869957221932,0.0918036226684139,-6.90462902004871,5.03347923097964e-12,1.20939449665887e-11
"ENSG00000002933",0.560210216337525,-2.51697035981856,4.04394464577137,-0.622404750878693,0.533675757278568,NA
"ENSG00000003056",7650.84387684729,-1.58871090099383,0.0576688505897775,-27.5488567007341,4.56716228221915e-167,8.02954064478686e-166
"ENSG00000003096",491.548295381856,4.25744347175252,0.155756349448426,27.3339962500999,1.67367735052937e-164,2.89388410307275e-163
"ENSG00000003137",364.574252211733,-1.4511379142742,0.128189737480695,-11.3202346989183,1.04192598140998e-29,4.12412615378116e-29
"ENSG00000003147",133.529145153249,-0.698490940947517,0.336537608574871,-2.07552119926627,0.0379382561982345,0.0516764243055419
"ENSG00000003249",1740.94780701776,-1.03282572022754,0.0566257670599811,-18.2395007405996,2.50738066039158e-74,1.93541504163501e-73
"ENSG00000003393",1247.60831460671,0.0511853447356365,0.116086229580623,0.440925206379348,0.65926714478704,0.703977976236407
"ENSG00000003400",347.259218508736,0.408293791767449,0.128492085990178,3.17757929308316,0.00148510074404748,0.0023304738435432
"ENSG00000003402",2489.84095293973,-3.11562179717087,0.0627984800177632,-49.613012867343,0,0
"ENSG00000003436",1345.91304563589,-3.67562231835006,0.0849772208243193,-43.2542072180613,0,0
"ENSG00000003509",665.088719976849,-0.379527017566323,0.0830122030164955,-4.57194248285287,0.00000483223594729682,0.00000896695264646486
"ENSG00000003756",1950.96194877519,2.0572331119361,0.106597879791194,19.2990059086151,5.47524007176748e-83,4.66549192322256e-82
"ENSG00000003987",32.663454303483,7.37851005095004,1.05130780351475,7.01841080821626,2.24405932722676e-12,5.46038068244235e-12
"ENSG00000003989",829.400570301976,3.12270515475721,0.0892587192294845,34.9848752224275,3.8210880175333e-268,1.22274816561066e-266
"ENSG00000004059",3218.74963324415,0.287708930340894,0.0677689612664291,4.24543810269993,0.0000218166730042543,0.0000390662486002106
