"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",2785.75596997274,0.954640376942095,0.0669274073826836,14.2638182812546,3.67768959648224e-46,2.4040461349223e-45
"ENSG00000000005",3.48904025312851,5.19007215833,1.72502107969748,3.00870071642267,0.00262367431000697,0.00412994750239962
"ENSG00000000419",1363.41877799245,-0.221584171088956,0.0848785922295465,-2.61060139274814,0.00903831744789945,0.0134516632644563
"ENSG00000000457",265.615085356664,0.29527741308241,0.151780564277214,1.94542308159503,0.051724078979906,0.0698359107095742
"ENSG00000000460",936.020433462793,0.557135593631179,0.0951679633740834,5.85423470124297,0.00000000479211494219471,0.0000000110360521887639
"ENSG00000000938",0,NA,NA,NA,NA,NA
"ENSG00000000971",592.998270383696,-7.8171442200223,0.375602775163983,-20.8122642773591,3.35136413067172e-96,4.39834267842779e-95
"ENSG00000001036",2771.44315744351,0.0173563267763537,0.0641571387360666,0.270528379511361,0.786753786879265,0.820970950045224
"ENSG00000001084",5457.85965852812,-2.97993259424069,0.0571872065947519,-52.1083782839319,0,0
"ENSG00000001167",1662.86901569056,1.40384221895495,0.0956453088691597,14.6775857128066,8.97287648791146e-49,6.16591169711867e-48
"ENSG00000001460",315.6737267444,-0.0688958541073736,0.130514614338695,-0.527878463698968,0.597583693276722,0.648190908307479
"ENSG00000001461",705.532614573877,-0.0282655356299709,0.110477522552393,-0.255848746215016,0.798067632182203,0.830234022242677
"ENSG00000001497",3815.01363614451,-0.385377319069544,0.0641769991563822,-6.00491335112885,0.00000000191434111656239,0.00000000450986045092523
"ENSG00000001561",374.70765729524,1.34915383303925,0.134184688481719,10.0544544113395,8.78064488226324e-24,3.4704938647182e-23
"ENSG00000001617",235.06540265311,0.420902826827083,0.237065397780855,1.77547137105251,0.0758200885918398,0.0997216807567936
"ENSG00000001626",3.46986349427946,-5.19196392855396,1.83201409732422,-2.83401963780583,0.00459665071776378,0.00707224936570683
"ENSG00000001629",1514.02251502133,-0.861047219175222,0.0803347653604981,-10.718239050196,8.35794173337727e-27,3.58092397957952e-26
"ENSG00000001630",5105.66250044887,-0.224370419342409,0.0446696229785285,-5.02288589832643,0.000000509007870920394,0.00000104822885410166
"ENSG00000001631",1053.29172125751,0.0437362874242646,0.120859518907946,0.361877060404129,0.717443902968253,0.758869859268423
"ENSG00000002016",264.152379718453,-0.336383858566263,0.183026124381449,-1.83790078986319,0.066077025712805,0.0877678076427004
"ENSG00000002079",7.32198892360938,-6.36652841356241,1.50077647011487,-4.24215633729592,0.0000221382383985616,0.0000412113311244122
"ENSG00000002330",1098.00612358101,-0.676217136514187,0.0881415907440721,-7.67194159766927,1.69412091310276e-14,4.9442093120962e-14
"ENSG00000002549",1961.30887800839,0.618122697149388,0.0640955076587296,9.64377566740751,5.22307235157656e-22,1.96586472622861e-21
"ENSG00000002586",6770.3086664238,0.437161109281414,0.0795484066690395,5.49553570695914,0.0000000389526114113589,0.00000008553206179331
"ENSG00000002587",59.6043210852392,-7.43770541921019,0.898877325105757,-8.27443880435533,1.29062034621995e-16,4.05565718462586e-16
"ENSG00000002726",0,NA,NA,NA,NA,NA
"ENSG00000002745",1.3661526247867,3.84739153055503,2.3318955768304,1.64989872135893,0.0989636523033321,NA
"ENSG00000002746",337.936941589021,-6.98670055234998,0.605530810702032,-11.538142120712,8.47356268596997e-31,3.99853574391962e-30
"ENSG00000002822",761.16564939344,0.655413564667167,0.10422947455766,6.28817872726191,3.21211987112296e-10,7.84944226145168e-10
"ENSG00000002834",20426.4834148484,-4.2426195167815,0.0413629096914508,-102.570625433017,0,0
"ENSG00000002919",787.1461558886,-0.619684823679983,0.10038685440782,-6.17296783862279,6.7019849056665e-10,0.00000000161368640096154
"ENSG00000002933",0,NA,NA,NA,NA,NA
"ENSG00000003056",6296.87865410659,-1.56348634555772,0.0676865978574109,-23.0989057664173,4.74871980430483e-118,7.6749944844718e-117
"ENSG00000003096",570.215848869449,4.0498757443312,0.189554125254572,21.3652735802621,2.81201063322899e-101,3.89135671300209e-100
"ENSG00000003137",360.948223959027,-1.45230802827303,0.142565912075754,-10.1869234175791,2.26829188452614e-24,9.11759137633383e-24
"ENSG00000003147",80.8067468802943,-0.787073800855295,0.381314191427862,-2.06410833519737,0.0390074458554748,0.053735390599063
"ENSG00000003249",1374.11568168196,-0.924127823672312,0.0713296156058795,-12.9557381716233,2.18028624992242e-38,1.22255353085676e-37
"ENSG00000003393",1302.23849480838,-0.193843907222443,0.120496900506523,-1.60870450947366,0.107680969294719,0.13786886974337
"ENSG00000003400",339.006763142352,0.347162349894596,0.144938389087561,2.39524084737044,0.0166094510027804,0.0240025447770923
"ENSG00000003402",2241.55781246291,-3.10691454981884,0.0780848982361186,-39.7889299980123,0,0
"ENSG00000003436",1039.97247679568,-3.77358869975197,0.113193306989017,-33.3375603216373,1.10333751399988e-243,4.3507765164324e-242
"ENSG00000003509",630.288234512804,-0.40561730012816,0.110736930941849,-3.66289093149204,0.000249384742082465,0.000428512112303287
"ENSG00000003756",2148.65441549404,1.87801974709868,0.113505693150128,16.5455995640212,1.72241361345341e-61,1.46267776197302e-60
"ENSG00000003987",40.641246528625,8.7315689234535,1.23277889964731,7.08283450175171,1.41235312671959e-12,3.82442147729584e-12
"ENSG00000003989",914.485927995289,2.91731615343793,0.108744261391091,26.827311309293,1.55198100878678e-158,3.60682080282166e-157
"ENSG00000004059",2979.48475352291,0.3134397394052,0.0794734289959356,3.94395640612449,0.000080148234011512,0.000143522039985925
"ENSG00000004139",810.346316896303,1.52518379449134,0.119550791502463,12.7576218887679,2.827004226506e-37,1.54501177409463e-36
"ENSG00000004142",6152.53125249973,-0.446782973003965,0.0460443055517511,-9.70332742887841,2.91823113197874e-22,1.1064337265359e-21
"ENSG00000004399",1341.64168207705,-2.5445131851156,0.147399521108978,-17.2626964183577,8.98170889553477e-67,8.31992447174741e-66
"ENSG00000004455",8582.84705931297,1.34700645460188,0.0618921758002921,21.7637599128567,5.11754206099901e-105,7.38790923806086e-104
"ENSG00000004468",410.74302142213,-9.51143196901727,0.657645088386039,-14.4628647533273,2.07958926312603e-47,1.390883513834e-46
